curve,checkpoint,value
society_memory,1000,72
lexical_convergence,1000,1.000
synonyms_per_concept,1000,1
society_memory,10000,72
lexical_convergence,10000,1.000
synonyms_per_concept,10000,1
society_memory,100000,72
lexical_convergence,100000,1.000
synonyms_per_concept,100000,1
society_memory,1000000,72
lexical_convergence,1000000,1.000
synonyms_per_concept,1000000,1
defect_pre_recovery,1000,0
defect_post_recovery,1000,0
defect_pre_recovery,2000,0
defect_post_recovery,2000,0
defect_pre_recovery,4000,231
defect_post_recovery,4000,0
defect_pre_recovery,6000,398
defect_post_recovery,6000,0
reflection_backlog,500,200
reflection_backlog,1000,200
reflection_backlog,2000,200
reflection_backlog,4000,200
rumor_under_noise,1000000,0
